key,Departure_2011,Ticket_class_description,Departure,Destination,value,Supplier_name,Directorate
161,February,Economy,UK,UK,126.51,FLYBE BRITISH EUROPEAN,IPS
162,January,Economy,UK,UK,60,BRITISH AIRWAYS,IPS
163,January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
164,February,Economy,UK,UK,68.03,EASYJET,IPS
165,January,Economy,UK,UK,74.15,FLYBE BRITISH EUROPEAN,ISA
166,January,Economy,UK,UK,121.3,EASTERN AIRWAYS,ISA
167,January,Economy,Non EEA,UK,356.97,VIRGIN ATLANTIC,OSCT
168,January,Economy,UK,UK,104.01,FLYBE BRITISH EUROPEAN,SIG
169,February,Economy,UK,UK,90.5,BRITISH AIRWAYS,OSCT
170,January,Economy,UK,UK,66.69,BRITISH AIRWAYS,Strategy & Reform Directorate
171,January,Economy,UK,UK,104.01,FLYBE BRITISH EUROPEAN,SIG
172,January,Economy,UK,UK,60.85,BRITISH AIRWAYS,Strategic Director Border
173,January,Economy,UK,UK,131.98,BMI BABY,Strategic Director Border
174,January,Economy,UK,UK,195.5,BMI,Strategic Director Border
175,January,Economy,UK,UK,295.59,BMI,Crime & Policing Group
176,February,Economy,UK,UK,35.85,BRITISH AIRWAYS,HROD
177,March,Premium Economy,UK,Non EEA,622.7,BRITISH AIRWAYS,Strategy & Reform Directorate
178,February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
179,January,Economy,UK,UK,186.9,FLYBE BRITISH EUROPEAN,Policy & Strategy
180,January,Economy,UK,EEA,298.9,BRITISH AIRWAYS,Policy & Strategy
181,January,Economy,UK,UK,111.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
182,March,Premium Economy,UK,Non EEA,622.67,VIRGIN ATLANTIC,Strategy & Reform Directorate
183,February,Economy,UK,UK,61.93,BRITISH AIRWAYS,OSCT
184,January,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
185,January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,HMIC
186,January,Economy,UK,EEA,197.5,BRITISH AIRWAYS,Strategic Director Border
187,February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
188,January,Economy,UK,UK,88.5,BRITISH AIRWAYS,Policy & Strategy
189,January,Economy,UK,UK,135.5,BMI,Strategic Director Border
190,January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group
191,January,Economy,UK,UK,223.54,FLYBE BRITISH EUROPEAN,Resource Management Group
192,January,Economy,UK,UK,278.5,BRITISH AIRWAYS,Strategy & Reform Directorate
193,February,Economy,UK,UK,65,FLYBE BRITISH EUROPEAN,Science & Research Group
194,January,Economy,UK,UK,171.43,BRITISH AIRWAYS,Strategic Director Border
195,January,Economy,EEA,UK,108.48,JET2COM,Immigration Group
196,January,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Immigration Group
197,January,Economy,UK,UK,114.35,BRITISH AIRWAYS,Immigration Group
198,January,Economy,UK,UK,295.59,BMI,Legal Advisors Branch
199,February,Economy,UK,UK,168.49,BRITISH AIRWAYS,Immigration Group
200,January,Economy,UK,UK,146.54,BRITISH AIRWAYS,Immigration Group
201,January,Economy,UK,UK,80,FLYBE BRITISH EUROPEAN,HMIC
202,January,Economy,UK,UK,71.03,EASYJET,Science & Research Group
203,January,Business Class,UK,UK,118.5,BRITISH AIRWAYS,Policy & Strategy
204,January,Economy,UK,UK,102.8,BRITISH AIRWAYS,OSCT
205,January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate
206,February,Economy,UK,UK,157.62,BRITISH AIRWAYS,Immigration Group
207,January,Economy,UK,UK,170.53,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
208,February,Economy,UK,UK,150.51,FLYBE BRITISH EUROPEAN,Immigration Group
209,January,Economy,UK,UK,116.01,FLYBE BRITISH EUROPEAN,HMIC
210,February,Economy,UK,UK,135.62,BRITISH AIRWAYS,Criminal & Detention Group
211,January,Economy,UK,UK,63.85,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate
212,January,Economy,UK,UK,278.5,BRITISH AIRWAYS,Strategy & Reform Directorate
213,January,Economy,UK,UK,59,FLYBE BRITISH EUROPEAN,HMIC
214,February,Economy,UK,UK,135.62,BRITISH AIRWAYS,Immigration Group
215,January,Economy,UK,Non EEA,941.47,VIRGIN ATLANTIC,International Group
216,February,Business Class,UK,UK,141.55,BRITISH AIRWAYS,Strategic Director Border
217,January,Economy,UK,EEA,134,BRITISH AIRWAYS,Immigration Group
218,February,Economy,UK,UK,65,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
219,February,Economy,UK,UK,169.05,FLYBE BRITISH EUROPEAN,Immigration Group
220,January,Economy,UK,UK,262.63,BRITISH AIRWAYS,Strategic Director Border
221,January,Economy,UK,UK,79.35,BRITISH AIRWAYS,Immigration Group
222,February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
223,January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group
224,January,Economy,UK,UK,211.62,BRITISH AIRWAYS,Immigration Group
225,January,Economy,UK,UK,71.03,EASYJET,Science & Research Group
226,January,Economy,UK,UK,100.7,FLYBE BRITISH EUROPEAN,Strategic Director Border
227,January,Economy,UK,UK,94.69,BRITISH AIRWAYS,Immigration Group
228,March,Economy,UK,Non EEA,245.63,LUFTHANSA GERMAN AIRLINES,Strategic Director Border
229,January,Economy,UK,UK,61.5,MANX2,Immigration Group
230,January,Economy,UK,UK,235,AIR SOUTHWEST,HMIC
231,February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
232,February,Economy,EEA,UK,29.35,EASYJET,SIG
233,January,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Criminal & Detention Group
234,January,Economy,UK,UK,129.8,BRITISH AIRWAYS,Immigration Group
235,January,Economy,UK,UK,94.1,BMI,Strategic Director Border
236,February,Economy,UK,UK,98.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
237,January,Economy,UK,UK,135.62,BRITISH AIRWAYS,Strategic Director Border
238,February,Economy,UK,UK,41.5,BRITISH AIRWAYS,HROD
239,February,Economy,UK,Non EEA,531.7,BRITISH AIRWAYS,OSCT
240,March,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,OSCT
241,March,Economy,UK,UK,151.91,FLYBE BRITISH EUROPEAN,OSCT
242,January,Economy,UK,EEA,134,BRITISH AIRWAYS,Immigration Group
243,January,Business Class,UK,UK,204.35,BRITISH AIRWAYS,HROD
244,January,Economy,UK,UK,104.93,BRITISH AIRWAYS,OSCT
245,January,Economy,UK,UK,146.54,BRITISH AIRWAYS,Criminal & Detention Group
246,January,Economy,UK,UK,224.2,FLYBE BRITISH EUROPEAN,Immigration Group
247,January,Economy,UK,UK,195.43,BRITISH AIRWAYS,Finance & Commercial Group
248,February,Economy,UK,UK,61.93,BRITISH AIRWAYS,OSCT
249,January,Economy,UK,EEA,190.17,LOT-POLISH AIRLINES,UKBA
250,February,Economy,UK,UK,94.43,BRITISH AIRWAYS,HROD
251,January,Economy,UK,UK,204.49,BRITISH AIRWAYS,Strategic Director Border
