CENTRE CODE,key,REGION NAME,AREA NAME,REGIST. CAND. 2015,CLEAN CAND. 2015,PASSED CAND. (I to IV) 2015,value,PASSED PERCENT,color,AVERAGE GPA 2015,BAND OF SCHOOL 2015,BAND OF SCHOOL 2014,RANK OF SCHOOL 2015,RANK OF SCHOOL 2014
S0277,SPRING VALLEY SECONDARY SCHOOL,Iringa,Southern Highlands,46,46,46,46,100,green,2.5201,4,4,118,51
S1334,MHONGOLO PROGRESSIVE SECONDARY SCHOOL,Shinyanga,Lake,91,91,91,91,100,green,2.5216,4,4,119,74
S1049,ST.THOMAS AQUINAS' SECONDARY SCHOOL,Tabora,Central,111,111,111,111,100,green,2.5221,4,4,120,122
S0266,REGINA MUNDI GIRLS SECONDARY SCHOOL,Morogoro,Southern Highlands,58,57,57,57,100,green,2.5397,4,5,121,145
S0631,UMOJA SECONDARY SCHOOL,Tabora,Central,136,136,136,136,100,green,2.5401,4,4,122,127
S0220,TABORA GIRLS SECONDARY SCHOOL,Tabora,Central,94,92,91,91,99,green,2.5508,4,6,123,295
S0155,TABORA BOYS SECONDARY SCHOOL,Tabora,Central,100,99,99,99,100,green,2.5516,4,4,124,93
S3867,ST.TERESA OF AVILA GIRLS SECONDARY SCHOOL,Kilimanjaro,Northern,80,80,80,80,100,green,2.5521,4,5,125,149
S4472,GOD'S BRIDGE SECONDARY SCHOOL,Mbeya,Southern Highlands,99,99,99,99,100,green,2.5599,4,5,126,169
S0289,SOLACE GIRLS' SECONDARY SCHOOL,Mbeya,Southern Highlands,87,87,87,87,100,green,2.5613,4,4,127,124
S1343,ANNE MARIE SECONDARY SCHOOL,Dar es Salaam,Coastal,123,123,123,123,100,green,2.5648,4,5,128,136
S4969,QUEEN OF PEACE SECONDARY SCHOOL,Tabora,Central,72,72,72,72,100,green,2.5654,4,4,129,102
S2652,KOM  SECONDARY SCHOOL,Shinyanga,Lake,161,160,160,160,100,green,2.5759,4,4,130,91
S0491,KILOMENI SECONDARY SCHOOL,Kilimanjaro,Northern,63,63,63,63,100,green,2.5822,4,3,131,49
S1109,ST.DORCAS SEMINARY,Kilimanjaro,Northern,48,48,48,48,100,green,2.594,4,5,132,191
S3914,ALFAGEMS SECONDARY SCHOOL,Morogoro,Southern Highlands,200,200,200,200,100,green,2.5947,4,4,133,100
S4459,JUDE SECONDARY SCHOOL,Arusha,Northern,139,139,139,139,100,green,2.6047,4,3,134,24
S4564,PADRE PIO SECONDARY SCHOOL,Morogoro,Southern Highlands,67,67,67,67,100,green,2.6052,4,4,135,49
S4965,CHRIST THE KING NYANTAKUBWA SECONDARY SCHOOL,Mwanza,Lake,56,56,56,56,100,green,2.6052,4,,136,
S2425,SUNRISE SECONDARY SCHOOL,Mwanza,Lake,127,127,127,127,100,green,2.6082,4,4,137,107
S3536,LILIAN KIBO SECONDARY SCHOOL,Dar es Salaam,Coastal,72,72,72,72,100,green,2.6101,4,4,138,35
S0107,LUTHERAN JUNIOR SEMINARY,Morogoro,Southern Highlands,94,94,94,94,100,green,2.6201,4,4,139,123
S0207,KIRAENI GIRLS SECONDARY SCHOOL,Kilimanjaro,Northern,129,129,129,129,100,green,2.643,4,4,140,69
S0196,ST. THOMAS MORE KIBOGORA SECONDARY SCHOOL,Kigoma,Lake,49,49,49,49,100,green,2.6474,4,4,141,33
S4905,MUFINDI GIRLS SECONDARY SCHOOL,Iringa,Southern Highlands,66,66,66,66,100,green,2.6591,4,7,142,408
S5163,KWEMA MODERN SECONDARY SCHOOL,Shinyanga,Lake,142,142,142,142,100,green,2.6598,4,3,143,44
S0286,JAMES SANGU SECONDARY SCHOOL,Mbeya,Southern Highlands,44,44,44,44,100,green,2.6607,4,4,144,111
S2359,MAGHABE SECONDARY SCHOOL,Mbeya,Southern Highlands,41,41,41,41,100,green,2.6687,4,4,145,105
S3547,HASANGA SECONDARY SCHOOL,Mbeya,Southern Highlands,70,70,70,70,100,green,2.6764,4,4,146,129
S0198,AILANGA LUTHERAN JUNIOR SEMINARY,Arusha,Northern,97,97,97,97,100,green,2.6796,4,5,147,150
S0214,MSALATO SECONDARY SCHOOL,Dodoma,Central,111,111,111,111,100,green,2.68,4,4,148,71
S0188,KIRINJIKO ISLAMIC SEMINARY,Kilimanjaro,Northern,150,150,150,150,100,green,2.6811,4,5,149,228
S0768,ST.BENEDICT SECONDARY SCHOOL,Ruvuma,Southern Highlands,72,72,72,72,100,green,2.7067,4,6,150,371
S0995,SOS HERMANN GMEINER SECONDARY SCHOOL,Unguja,Zanzibar,51,51,51,51,100,green,2.7086,4,5,151,160
S4202,FRANCIS MARIA LIBERMANN SECONDARY SCHOOL,Unguja,Zanzibar,55,55,55,55,100,green,2.7229,4,4,152,97
S4024,USAMBARA GIRLS SECONDARY SCHOOL,Tanga,Northern,120,120,120,120,100,green,2.7234,4,4,153,117
S4555,GLORIOUS ACADEMY SECONDARY SCHOOL,Unguja,Zanzibar,46,46,46,46,100,green,2.7269,4,5,154,143
S4467,ST. JOSEPH SOGA BOYS SECONDARY SCHOOL,Morogoro,Southern Highlands,71,71,71,71,100,green,2.7286,4,4,155,121
S0862,KONGEI SECONDARY SCHOOL,Tanga,Northern,79,79,79,79,100,green,2.7294,4,5,156,181
S4209,FOUNTAIN OF HOPE CHRISTIAN SEMINARY SECONDARY SCHOOL,Kilimanjaro,Northern,47,47,47,47,100,green,2.7309,4,5,157,166
S3482,MWENYEHERI ANUARITE SECONDARY SCHOOL,Dar es Salaam,Coastal,82,82,82,82,100,green,2.7326,4,5,158,139
S0255,ST. CHRISTINA GIRL'S SECONDARY SCHOOL,Tanga,Northern,64,64,64,64,100,green,2.7328,4,5,159,165
S0883,DONBOSCO-DIDIA SECONDARY SCHOOL,Shinyanga,Lake,120,119,119,119,100,green,2.733,4,5,160,137
S2335,WAZO HILL SECONDARY SCHOOL,Dar es Salaam,Coastal,100,100,100,100,100,green,2.7453,4,5,161,198
S0342,SHAABAN ROBERT SECONDARY SCHOOL,Dar es Salaam,Coastal,171,169,169,169,100,green,2.7478,4,4,162,98
S3886,SIMBA WA YUDA SECONDARY SCHOOL,Simiyu,Lake,49,48,46,46,96,green,2.7483,4,5,163,164
S4638,ANGEL HOUSE SECONDARY SCHOOL,Mara ,Southern Highlands,48,48,48,48,100,green,2.7486,4,5,164,142
S3646,ST. MARYS' DULUTI  SECONDARY SCHOOL,Arusha,Northern,79,79,79,79,100,green,2.7494,4,5,165,152
S3106,MAGULILWA SECONDARY SCHOOL,Iringa,Southern Highlands,45,45,45,45,100,green,2.7499,4,5,166,58
