CSEE 2015 SCHOOL RANKING - CENTRE WITH 40 AND MORE CANDIDATES,,,,,,,,,,
"KEY: BAND1: GPA 1 to 1.499, BAND2: 1.5 to 1.999 , BAND3: 2 to 2.499, BAND4: 2.5 to 2.999, BAND5: 3 to 3.499, BAND6: 3.5 to 3.999, BAND7: 4 to 4.299,    BAND8: 4.3 to 4.499, BAND9:4.5 to 4.699, BAND10: 4.7 to 5",,,,,,,,,,
S2529,BUGOGWA SECONDARY SCHOOL,MWANZA,166,140,106,4.0159,7,7,902,612
S1866,MINGOYO SECONDARY SCHOOL,LINDI,69,67,57,4.0165,7,8,903,1208
S3189,CHALANGWA SECONDARY SCHOOL,MBEYA,134,37,28,4.0169,7,7,904,781
S1598,KAKONKO SECONDARY SCHOOL,KIGOMA,63,63,55,4.017,7,8,905,1845
S1067,PASUA SECONDARY SCHOOL,KILIMANJARO,94,92,70,4.0176,7,8,906,1634
S4329,NSHAMBYA  SECONDARY SCHOOL,KAGERA,48,39,30,4.0181,7,8,907,1752
S1204,UYOLE SECONDARY SCHOOL,MBEYA,320,277,208,4.0185,7,7,908,659
S2767,GEREZANI SECONDARY SCHOOL,DAR ES SALAAM,180,161,118,4.02,7,8,909,1266
S1188,NELUKA SECONDARY SCHOOL,DAR ES SALAAM,85,85,63,4.0212,7,7,910,635
S2115,WALLA SECONDARY SCHOOL,MWANZA,80,75,58,4.0215,7,8,911,1216
S2233,KAYANGA SECONDARY SCHOOL,KAGERA,208,206,168,4.0227,7,8,912,1787
S2015,SANJO SECONDARY SCHOOL,MWANZA,130,120,93,4.0237,7,8,913,1129
S2143,CHEYO SECONDARY SCHOOL,TABORA,191,146,127,4.0238,7,7,914,528
S1706,PASIANSI SECONDARY SCHOOL,MWANZA,210,174,135,4.0238,7,7,915,535
S1243,BISHOP KISANJI SECONDARY SCHOOL,TABORA,70,68,64,4.024,7,7,916,522
S1230,MAGHANG SECONDARY SCHOOL,MANYARA,168,161,105,4.024,7,7,917,631
S5292,TCRC FURAHA SECONDARY SCHOOL,MWANZA,46,45,36,4.0244,7,,918,
S1507,TAGAMENDA SECONDARY SCHOOL,IRINGA,167,165,134,4.0251,7,7,919,774
S0670,NYANG'HWALE SECONDARY SCHOOL,GEITA,162,153,126,4.0263,7,7,920,685
S1421,MAKONG'ONDA SECONDARY SCHOOL,MTWARA,63,60,50,4.0275,7,8,921,1564
S2215,KALAMBO SECONDARY SCHOOL,RUKWA,49,48,39,4.0277,7,9,922,1985
S2036,NTUCHI SECONDARY SCHOOL,RUKWA,45,40,36,4.0278,7,8,923,1285
S1274,LOLIONDO SECONDARY SCHOOL,ARUSHA,120,115,88,4.0286,7,8,924,1014
S3501,HOPE SECONDARY SCHOOL,IRINGA,51,48,36,4.0291,7,8,925,1463
S2901,JAILA SECONDARY SCHOOL,TANGA,148,132,115,4.0296,7,7,926,658
S0794,KINYALA SECONDARY SCHOOL,MBEYA,228,223,169,4.0297,7,7,927,601
S4236,DiNoBB HIGH SCHOOL,MBEYA,117,116,95,4.0305,7,7,928,882
S2756,VINGUNGUTI SECONDARY SCHOOL,DAR ES SALAAM,228,190,143,4.0313,7,7,929,804
S4114,EMMANUEL II SECONDARY SCHOOL,DAR ES SALAAM,44,42,34,4.0313,7,8,930,1159
S3274,KASHAI SECONDARY SCHOOL,KAGERA,160,145,113,4.0313,7,7,931,744
S0476,MWANGAZA SECONDARY SCHOOL,KATAVI,214,171,134,4.0316,7,7,932,589
S0547,MAZWI SECONDARY SCHOOL,RUKWA,226,223,159,4.0319,7,7,933,473
S4314,NAKALULU SECONDARY SCHOOL,MBEYA,84,82,67,4.0324,7,7,934,878
S1960,ZEBEYA  SECONDARY SCHOOL,SIMIYU,57,56,46,4.0328,7,7,935,505
S0507,ITENGULE SECONDARY SCHOOL,IRINGA,73,71,57,4.033,7,7,936,201
S4366,NYAMIYAGA SECONDARY SCHOOL,KAGERA,46,45,39,4.0331,7,7,937,609
S3749,KINYETO SECONDARY SCHOOL,SINGIDA,51,48,37,4.0331,7,8,938,732
S3550,MWALUGULU SECONDARY SCHOOL,SHINYANGA,43,33,26,4.0335,7,8,939,1016
S1870,NDAGARA SECONDARY SCHOOL,KAGERA,51,50,39,4.0337,7,8,940,2020
S1664,MBARIKA SECONDARY SCHOOL,MWANZA,49,32,22,4.0342,7,8,941,704
S3260,KACHWAMBA SECONDARY SCHOOL,GEITA,48,46,39,4.0348,7,7,942,808
S3242,BOMBAMBILI  SECONDARY SCHOOL,RUVUMA,142,128,89,4.0352,7,7,943,564
S2637,MBELEKESE SECONDARY SCHOOL,SINGIDA,78,75,61,4.0369,7,8,944,1394
S3443,MWARUSEMBE SECONDARY SCHOOL,PWANI,48,45,37,4.037,7,8,945,1852
S4597,IKUYU SECONDARY SCHOOL,DODOMA,58,12,9,4.0374,7,8,946,1203
S3741,ALEXANDER SECONDARY SCHOOL,MANYARA,83,80,63,4.0379,7,7,947,730
S0317,KIBO SECONDARY SCHOOL,KILIMANJARO,65,65,62,4.0381,7,8,948,1838
S4679,NKOMOLO SECONDARY SCHOOL,RUKWA,94,89,69,4.0386,7,8,949,755
S2605,MNACHO SECONDARY SCHOOL,LINDI,46,38,29,4.0387,7,8,950,796
S2836,MLAMBAI SECONDARY SCHOOL,KILIMANJARO,80,79,66,4.0388,7,8,951,742
S1659,ABOUD JUMBE SECONDARY SCHOOL,DAR ES SALAAM,243,197,137,4.0388,7,7,952,829
S3309,KIKAFU SECONDARY SCHOOL,KILIMANJARO,46,46,37,4.0389,7,7,953,568
S2319,BONGA SECONDARY SCHOOL,MANYARA,76,73,51,4.0391,7,7,954,954
S2720,TAI SECONDARY SCHOOL,MARA ,177,135,116,4.0392,7,7,955,627
S2347,MWASENGA SECONDARY SCHOOL,KIGOMA,90,89,68,4.0392,7,8,956,1476
S3045,IBUNGILO SECONDARY SCHOOL,MWANZA,196,167,131,4.0399,7,6,957,389
S2306,BUSANDA SECONDARY SCHOOL,GEITA,68,61,52,4.0406,7,8,958,740
S1190,LUGUNGA SECONDARY SCHOOL,GEITA,71,56,45,4.0415,7,8,959,1732
S4226,TERRAT  SECONDARY SCHOOL,MANYARA,83,73,55,4.0418,7,8,960,1936
S0449,J.J.MUNGAI SECONDARY SCHOOL,IRINGA,244,220,172,4.042,7,7,961,587
S0606,ZUNZULI SECONDARY SCHOOL,SHINYANGA,69,60,49,4.0427,7,8,962,1004
S5029,PEHISCO SECONDARY SCHOOL,RUVUMA,66,62,55,4.043,7,,963,
S1911,KIRUMBA SECONDARY SCHOOL,MWANZA,142,101,80,4.0433,7,7,964,953
S1578,CHANGARAWE SECONDARY SCHOOL,IRINGA,172,163,118,4.0439,7,7,965,663
S1769,SHANTA MINE SECONDARY SCHOOL,GEITA,78,73,60,4.044,7,7,966,713
S0432,JABAL-HIRA MUSLIM JUNIOR SEMINARY,MOROGORO,88,88,81,4.0443,7,8,967,1763
S0632,BONDENI SECONDARY SCHOOL,ARUSHA,44,43,41,4.0452,7,8,968,1213
S1167,KWAMKONO SECONDARY SCHOOL,TANGA,208,163,157,4.0461,7,8,969,2038
S3705,IWIJI SECONDARY SCHOOL,MBEYA,94,92,63,4.0463,7,8,970,1370
S1691,MAGUVANI SECONDARY SCHOOL,NJOMBE,82,47,37,4.0463,7,8,971,1247
S1344,MWALIMU J K NYERERE SECONDARY SCHOOL,MBEYA,184,158,117,4.0464,7,7,972,430
S1648,SUMBAWANGA SECONDARY SCHOOL,RUKWA,176,150,118,4.0464,7,8,973,1006
S0694,KANGA SECONDARY SCHOOL,MBEYA,59,42,35,4.047,7,7,974,905
S0919,NDURUMA SECONDARY SCHOOL,ARUSHA,78,70,53,4.0476,7,7,975,533
S1075,DARAJANI SECONDARY SCHOOL,KILIMANJARO,198,189,141,4.0477,7,7,976,441
S3130,KITURA SECONDARY SCHOOL,RUVUMA,73,73,71,4.048,7,8,977,1707
S1495,GENESIS HIGH SCHOOL,NJOMBE,127,109,95,4.0489,7,8,978,1951
S4955,NYAMADOKE SECONDARY SCHOOL,MWANZA,45,43,38,4.0496,7,,979,
S0443,META SECONDARY SCHOOL,MBEYA,273,252,196,4.0498,7,8,980,1314
S4104,LORD BADEN POWELL MEMORIAL SECONDARY SCHOOL,PWANI,212,211,176,4.0505,7,7,981,708
S0978,DIGODIGO SECONDARY SCHOOL,ARUSHA,113,110,86,4.0519,7,8,982,1369
S2820,HAYDOM  SECONDARY SCHOOL,MANYARA,92,86,74,4.0528,7,7,983,579
S2768,ULONGONI SECONDARY SCHOOL,DAR ES SALAAM,220,193,155,4.0534,7,7,984,664
S1251,ZIBA SECONDARY SCHOOL,TABORA,119,119,90,4.0535,7,8,985,1241
S2540,ITEBWA SECONDARY SCHOOL,MBEYA,152,139,99,4.0539,7,8,986,1355
S4428,MWABALUHI SECONDARY SCHOOL,MWANZA,165,105,77,4.0544,7,8,987,1253
S2356,MAJOHE SECONDARY SCHOOL,DAR ES SALAAM,92,53,37,4.0545,7,8,988,1930
S0758,KIJOTA SECONDARY SCHOOL,SINGIDA,105,89,66,4.0546,7,8,989,1057
S1147,SINON SECONDARY SCHOOL,ARUSHA,384,346,219,4.055,7,7,990,735
S3343,JIJA SECONDARY SCHOOL,SIMIYU,51,50,41,4.0554,7,8,991,674
S0426,WANGING'OMBE SECONDARY SCHOOL,NJOMBE,92,63,48,4.0565,7,7,992,558
S3149,IHOWANZA SECONDARY SCHOOL,IRINGA,64,61,53,4.0569,7,8,993,1186
S1777,NYAMALIMBE SECONDARY SCHOOL,GEITA,69,64,53,4.0574,7,7,994,346
S1261,MERRIWA SECONDARY SCHOOL,DODOMA,114,110,85,4.0574,7,6,995,356
S1607,KUMGOGO SECONDARY SCHOOL,KIGOMA,54,53,43,4.0574,7,7,996,220
S0605,UHURU SECONDARY SCHOOL,SHINYANGA,203,173,114,4.0578,7,7,997,476
S1922,BUJINGA SECONDARY SCHOOL,MBEYA,239,225,161,4.0579,7,8,998,1126
S1179,ITWELELE SECONDARY SCHOOL,RUKWA,138,135,104,4.0579,7,8,999,1080
S1152,SUMAYE BUZIKU SECONDARY SCHOOL,GEITA,87,80,63,4.058,7,7,1000,798
S1561,KENGEJA SECONDARY SCHOOL,PEMBA,45,45,37,4.0581,7,8,1001,1164
S1445,KENTON-MWENGE SECONDARY SCHOOL,DAR ES SALAAM,67,53,40,4.0584,7,8,1002,2109
S3019,LYABUSALU SECONDARY SCHOOL,SHINYANGA,59,58,44,4.0591,7,8,1003,878
S4168,MIRARE SECONDARY SCHOOL,MARA ,69,58,49,4.0593,7,7,1004,600
S1731,IFWAGI SECONDARY SCHOOL,IRINGA,84,70,55,4.0601,7,7,1005,222
S0873,MAKOMU SECONDARY SCHOOL,KILIMANJARO,189,185,139,4.0602,7,7,1006,625
S1743,MWAMALA SECONDARY SCHOOL,MWANZA,43,37,32,4.0612,7,7,1007,404
S5050,DUMBETA SECONDARY SCHOOL,MANYARA,52,49,39,4.0616,7,7,1008,568
S3407,KIHANSI SECONDARY SCHOOL,IRINGA,60,59,50,4.0616,7,8,1009,987
S0739,HIJRA SEMINARY SECONDARY SCHOOL,DODOMA,168,165,109,4.062,7,8,1010,1309
S2321,IGONGWA SECONDARY SCHOOL,MWANZA,55,53,39,4.0623,7,7,1011,291
S3137,LUPETA  SECONDARY SCHOOL,MBEYA,129,117,89,4.0632,7,8,1012,1390
S2033,VIWANDANI SECONDARY SCHOOL,DODOMA,181,172,129,4.0634,7,8,1013,1173
S4029,WILLIAM LUKUVI SECONDARY SCHOOL,IRINGA,62,58,54,4.0635,7,7,1014,330
S1982,GETANUWAS SECONDARY SCHOOL,MANYARA,53,46,38,4.0635,7,8,1015,1155
S1846,PANDAMBILI SECONDARY SCHOOL,DODOMA,68,41,27,4.0638,7,9,1016,2219
S3592,NYIKOBOKO SECONDARY SCHOOL,SHINYANGA,83,80,56,4.0638,7,7,1017,630
S0318,KIBOHEHE SECONDARY SCHOOL,KILIMANJARO,84,83,66,4.0638,7,8,1018,1389
S1650,CHUNYU SECONDARY SCHOOL,DODOMA,40,30,22,4.0641,7,7,1019,617
S2765,MIGOMBANI SECONDARY SCHOOL,DAR ES SALAAM,142,125,90,4.0655,7,7,1020,783
S1963,KISHANDA SECONDARY SCHOOL,KAGERA,180,166,151,4.0656,7,8,1021,1955
S1078,NUR ISLAMIC SEMINARY,DAR ES SALAAM,89,84,67,4.0659,7,7,1022,500
S3506,KISHINDA   SECONDARY   SCHOOL,MWANZA,65,61,44,4.0659,7,7,1023,662
S2377,BUNGULWA SECONDARY SCHOOL,MWANZA,46,38,31,4.0663,7,8,1024,1050
S3200,TREE FARMS SECONDARY SCHOOL,MOROGORO,76,33,23,4.0668,7,9,1025,1899
S1931,MYOVIZI SECONDARY SCHOOL,MBEYA,149,127,89,4.067,7,8,1026,1122
S0733,IGURUSI SECONDARY SCHOOL,MBEYA,40,40,29,4.0671,7,7,1027,439
S2338,NAMBINZO SECONDARY SCHOOL,MBEYA,44,41,32,4.0674,7,8,1028,2133
S1968,MSATA SECONDARY SCHOOL,PWANI,91,78,64,4.0674,7,8,1029,1560
S3897,MISIMA SECONDARY SCHOOL,TANGA,61,59,34,4.0678,7,9,1030,2293
S1258,TUMATI SECONDARY SCHOOL,MANYARA,76,73,54,4.0694,7,8,1031,1165
S5008,NAMBUNGA SECONDARY SCHOOL,MTWARA,49,49,40,4.0696,7,8,1032,1335
S1824,MBOGWE SECONDARY SCHOOL,GEITA,65,64,53,4.0698,7,8,1033,959
S0423,BULIMA SECONDARY SCHOOL,SIMIYU,106,76,65,4.07,7,8,1034,1086
S2697,IPARAMASA SECONDARY SCHOOL,GEITA,64,54,40,4.0705,7,7,1035,801
S2058,THOMAS NYIMBO SECONDARY SCHOOL,NJOMBE,71,65,39,4.071,7,8,1036,1013
S1153,BUSERESERE SECONDARY SCHOOL,GEITA,227,194,138,4.0714,7,7,1037,942
S2264,HANANG SECONDARY SCHOOL,MANYARA,101,88,59,4.0715,7,8,1038,1786
S2075,BURUMA SECONDARY SCHOOL,MARA ,43,34,33,4.0718,7,9,1039,2023
S0374,LUPATA SECONDARY SCHOOL,MBEYA,208,208,149,4.0724,7,7,1040,972
S1910,IGOMA SECONDARY SCHOOL,MWANZA,202,184,127,4.0727,7,7,1041,463
S1919,MAGHOJOA SECONDARY SCHOOL,SINGIDA,61,59,45,4.0728,7,8,1042,1251
S2745,MTIMBWANI SECONDARY SCHOOL,TANGA,57,28,25,4.0729,7,7,1043,599
S1671,NATA SECONDARY SCHOOL,TABORA,66,63,49,4.0742,7,7,1044,327
S2510,ISTIQAMA SECONDARY SCHOOL,KATAVI,49,30,24,4.0744,7,8,1045,1743
S2822,YAEDA AMPA  SECONDARY SCHOOL,MANYARA,60,55,44,4.0746,7,8,1046,1904
S1417,NGIMU SECONDARY SCHOOL,SINGIDA,44,43,30,4.0748,7,8,1047,737
S0544,MKUU SECONDARY SCHOOL,KILIMANJARO,247,193,155,4.0749,7,7,1048,593
S4288,ULOWA SECONDARY SCHOOL,SHINYANGA,62,59,48,4.0752,7,8,1049,829
S3928,GOBA SECONDARY SCHOOL,DAR ES SALAAM,194,154,106,4.0756,7,8,1050,1298
S3140,NZONDAHAKI SECONDARY SCHOOL,MBEYA,228,217,155,4.0759,7,7,1051,699
S0445,MWEMBETOGWA SECONDARY SCHOOL,IRINGA,82,76,58,4.0762,7,8,1052,1365
S2508,ISENI SECONDARY SCHOOL,MWANZA,116,106,92,4.0768,7,8,1053,1720
S1354,BUSANGI SECONDARY SCHOOL,SHINYANGA,67,58,47,4.0777,7,7,1054,468
S1880,MBEZI INN SECONDARY SCHOOL,DAR ES SALAAM,295,266,182,4.0784,7,7,1055,755
S5307,KINOJA SECONDARY SCHOOL,MWANZA,56,46,35,4.0787,7,,1056,
S3303,UDURU SECONDARY SCHOOL,KILIMANJARO,69,65,58,4.0788,7,7,1057,244
S2476,MBAGALA SECONDARY SCHOOL,DAR ES SALAAM,540,419,281,4.0793,7,7,1058,655
S3301,NYAMIGOGO SECONDARY SCHOOL,KAGERA,42,42,38,4.0803,7,8,1059,1219
S1216,MIPA SECONDARY SCHOOL,SHINYANGA,45,34,30,4.0807,7,7,1060,572
S0721,LEGURUKI SECONDARY SCHOOL,ARUSHA,43,42,30,4.0809,7,7,1061,395
S2829,IPELELE SECONDARY SCHOOL,NJOMBE,47,47,42,4.0809,7,7,1062,459
S0515,ILULA SECONDARY SCHOOL,IRINGA,166,156,106,4.0815,7,8,1063,1127
S3064,NYABISHENGE SECONDARY SCHOOL,KAGERA,106,97,71,4.0815,7,7,1064,746
S3112,NYANTAKARA SECONDARY SCHOOL,KAGERA,51,38,30,4.0826,7,8,1065,1134
S3082,TEMA SECONDARY SCHOOL,KILIMANJARO,60,59,44,4.084,7,7,1066,413
S2060,MAGHARE SECONDARY SCHOOL,KILIMANJARO,121,103,80,4.0848,7,8,1067,1954
S2973,MWALUSHU SECONDARY SCHOOL,SIMIYU,41,39,29,4.0848,7,8,1068,1055
S3066,BUGOMORA SECONDARY SCHOOL,KAGERA,55,54,40,4.085,7,8,1069,814
S3275,RUMULI SECONDARY SCHOOL,KAGERA,72,64,50,4.0851,7,7,1070,887
S1500,NYAKITONTO SECONDARY SCHOOL,KIGOMA,114,106,82,4.0852,7,7,1071,565
S0581,ILEJE SECONDARY SCHOOL,MBEYA,58,55,38,4.0853,7,8,1072,2003
S3775,ALIKACHENJE HIGH SCHOOL,KILIMANJARO,58,57,50,4.0855,7,7,1073,628
S4327,KIBETA SECONDARY SCHOOL,KAGERA,74,73,55,4.086,7,7,1074,318
S0958,KIWANJA CHA NDEGE SECONDARY SCHOOL,DODOMA,118,111,85,4.086,7,7,1075,503
S3094,CHAMAGUHA SECONDARY SCHOOL,SHINYANGA,88,73,54,4.0866,7,7,1076,214
S4010,LUPANGA PRACTISING SECONDARY SCHOOL,MOROGORO,146,126,93,4.0872,7,8,1077,1350
S0706,KALANGALALA SECONDARY SCHOOL,GEITA,158,140,102,4.0877,7,7,1078,846
S0625,BALANGDALALU SECONDARY SCHOOL,MANYARA,223,220,153,4.0878,7,8,1079,1417
S0333,MWANZA SECONDARY SCHOOL,MWANZA,477,374,289,4.0878,7,7,1080,521
S0655,KIFANYA SECONDARY SCHOOL,NJOMBE,105,100,77,4.088,7,7,1081,753
S4088,ACTAS SECONDARY SCHOOL,DAR ES SALAAM,115,56,39,4.0881,7,6,1082,334
S1790,BUKULU SECONDARY SCHOOL,DODOMA,52,49,41,4.0885,7,8,1083,968
S1293,IKORONGO SECONDARY SCHOOL,MARA ,67,64,54,4.0887,7,8,1084,1768
S1983,KIRU SECONDARY SCHOOL,MANYARA,64,63,47,4.0888,7,7,1085,633
S0509,UCHIRA SECONDARY SCHOOL,KILIMANJARO,153,153,130,4.0893,7,8,1086,1636
S1458,KIBOGORA SECONDARY SCHOOL,KAGERA,59,56,39,4.0902,7,8,1087,1639
S3519,KIVUKONI SECONDARY SCHOOL,GEITA,170,162,124,4.0907,7,7,1088,780
S2791,MWAMANGA SECONDARY SCHOOL,MWANZA,70,66,51,4.0909,7,7,1089,741
S1364,ILEMBULA SECONDARY SCHOOL,NJOMBE,114,111,80,4.0909,7,7,1090,764
S4244,NUNGWI SECONDARY SCHOOL,UNGUJA,60,57,52,4.0913,7,8,1091,1069
S0435,BISHOP MOSHI SECONDARY SCHOOL,KILIMANJARO,87,86,66,4.0915,7,8,1092,785
S3374,KWEMDIMU SECONDARY SCHOOL,TANGA,66,15,11,4.0916,7,9,1093,2249
S0715,ILONGERO SECONDARY SCHOOL,SINGIDA,162,152,96,4.0919,7,7,1094,928
S0345,USAGARA SECONDARY SCHOOL,TANGA,349,335,224,4.0925,7,7,1095,812
S4517,MLANG'A SECONDARY SCHOOL,KILIMANJARO,135,130,102,4.0929,7,7,1096,649
S0744,NANGA SECONDARY SCHOOL,TABORA,137,135,97,4.0935,7,7,1097,776
S1515,MABATINI SECONDARY SCHOOL,NJOMBE,90,87,60,4.0938,7,7,1098,676
S4853,LIGOMA SECONDARY SCHOOL ,RUVUMA,51,45,40,4.0939,7,8,1099,1434
S3525,CHAKWALE SECONDARY SCHOOL,MOROGORO,71,68,52,4.0941,7,8,1100,961
S2904,NG'HUNDI SECONDARY SCHOOL,MWANZA,41,38,27,4.0941,7,7,1101,456
S2186,MTINKO SECONDARY SCHOOL,SINGIDA,115,109,86,4.0943,7,8,1102,1300
S2930,IGANYA SECONDARY SCHOOL,MBEYA,80,77,51,4.0945,7,8,1103,713
S2137,KIMAGHAI SECONDARY SCHOOL,DODOMA,54,35,28,4.0946,7,8,1104,1450
S0981,CHEMCHEM SECONDARY SCHOOL,SINGIDA,44,15,10,4.0953,7,8,1105,1164
S1424,SOGESCA SECONDARY SCHOOL,SIMIYU,156,138,100,4.0987,7,8,1106,1140
S2224,MLAFU SECONDARY SCHOOL,IRINGA,40,39,31,4.0996,7,9,1107,1913
S2774,MSIMBAZI SECONDARY SCHOOL,DAR ES SALAAM,203,199,138,4.0999,7,7,1108,702
S1893,GIDHIM SECONDARY SCHOOL,MANYARA,59,55,45,4.1012,7,8,1109,1817
S0639,UDZUNGWA SECONDARY SCHOOL,IRINGA,183,181,137,4.1015,7,7,1110,588
S2646,KYENGEGE SECONDARY SCHOOL,SINGIDA,60,52,39,4.1018,7,6,1111,137
S0417,MWAKALELI SECONDARY SCHOOL,MBEYA,81,68,48,4.1022,7,8,1112,1149
S1491,SHANGANI SECONDARY SCHOOL,MTWARA,149,137,88,4.1024,7,7,1113,894
S0524,RUJEWA SECONDARY SCHOOL,MBEYA,242,234,167,4.1026,7,7,1114,515
S2634,KASELYA SECONDARY SCHOOL,SINGIDA,60,55,42,4.1034,7,9,1115,1854
S1159,EMBARWAY SECONDARY SCHOOL,ARUSHA,172,164,112,4.1039,7,8,1116,1489
S2700,MAZOMBE SECONDARY SCHOOL,IRINGA,65,60,42,4.104,7,8,1117,1045
S0446,MGOLOLO SECONDARY SCHOOL,IRINGA,115,105,79,4.1042,7,7,1118,490
S1885,BUGARAMA SECONDARY SCHOOL,SHINYANGA,118,104,70,4.1046,7,7,1119,656
S1782,NYABUBINZA SECONDARY SCHOOL,SIMIYU,66,63,53,4.1048,7,8,1120,1319
S1222,KIHONDA SECONDARY SCHOOL,MOROGORO,313,294,218,4.1051,7,7,1121,480
S3802,MUKA SECONDARY SCHOOL,KIGOMA,123,115,85,4.1053,7,8,1122,1206
S2883,IRKISALE SECONDARY SCHOOL,ARUSHA,71,71,52,4.1062,7,8,1123,1125
S4941,MDAULA SECONDARY SCHOOL,PWANI,67,65,41,4.1074,7,9,1124,1934
S1034,ITILIMA SECONDARY SCHOOL,SIMIYU,127,114,74,4.1077,7,8,1125,1101
S3748,MANGO SECONDARY SCHOOL,RUVUMA,50,47,41,4.1086,7,9,1126,2033
S1168,MKUYUNI SECONDARY SCHOOL,MOROGORO,69,68,55,4.1101,7,8,1127,1187
S0447,MDABULO SECONDARY SCHOOL,IRINGA,186,182,142,4.1103,7,8,1128,1177
S1442,MWANDET SECONDARY SCHOOL,ARUSHA,276,271,190,4.1112,7,8,1129,1672
S0676,MABIRA SECONDARY SCHOOL,KAGERA,151,122,102,4.1112,7,8,1130,1598
S3446,OLD MASWA SECONDARY SCHOOL,SIMIYU,67,66,47,4.1113,7,8,1131,708
S5172,HIGH PERFORMANCE SECONDARY SCHOOL,UNGUJA,63,62,55,4.1119,7,7,1132,409
S1668,KIWELE SECONDARY SCHOOL,IRINGA,132,130,97,4.1121,7,7,1133,457
S3036,LUCHELELE SECONDARY SCHOOL,MWANZA,152,141,96,4.1123,7,8,1134,1288
S4506,MAKURUMLA SECONDARY SCHOOL,DAR ES SALAAM,280,220,168,4.1126,7,9,1135,2155
S3702,MUGHANGA SECONDARY SCHOOL,SINGIDA,146,132,95,4.1127,7,8,1136,1341
S3707,KANYELE SECONDARY SCHOOL,RUKWA,46,43,33,4.113,7,7,1137,329
S0821,NYANDUGA SECONDARY SCHOOL,MARA ,92,88,63,4.1137,7,8,1138,1130
S2552,BUNAMBIYU SECONDARY SCHOOL,SHINYANGA,55,42,32,4.1143,7,8,1139,1169
S3053,RUICHO SECONDARY SCHOOL,KAGERA,44,44,32,4.1145,7,8,1140,1485
S3977,MWAU SECONDARY  SCHOOL,SINGIDA,50,48,36,4.1146,7,7,1141,406
S4159,MANDERA GIRLS SECONDARY SCHOOL,PWANI,75,51,42,4.1149,7,8,1142,1137
S2550,MLONDWE SECONDARY SCHOOL,NJOMBE,76,76,64,4.1154,7,8,1143,1152
S0386,GEITA SECONDARY SCHOOL,GEITA,293,259,204,4.1155,7,7,1144,867
S3910,MITIULAYA SECONDARY SCHOOL,PEMBA,53,53,52,4.1157,7,,1145,
S3918,BITURANA SECONDARY SCHOOL,KIGOMA,42,40,33,4.1158,7,8,1146,1880
S2172,MANDAKA DAY SECONDARY SCHOOL,KILIMANJARO,110,102,70,4.1164,7,8,1147,1136
S0965,USHIROMBO SECONDARY SCHOOL,GEITA,299,271,201,4.1164,7,8,1148,1153
S1948,MONGOLA SECONDARY SCHOOL,MOROGORO,121,98,69,4.1165,7,8,1149,1761
S3880,ISYESYE SECONDARY SCHOOL,MBEYA,127,121,82,4.1166,7,7,1150,949
S4816,NAINOKANOKA SECONDARY SCHOOL,ARUSHA,221,194,140,4.1167,7,,1151,
S2331,LAKE BABATI SECONDARY SCHOOL,MANYARA,40,35,33,4.1168,7,9,1152,1932
S1928,MPUNZE  SECONDARY SCHOOL,SHINYANGA,71,67,50,4.1175,7,7,1153,657
S3593,KATENTE SECONDARY SCHOOL,GEITA,157,137,103,4.1181,7,8,1154,1327
S2825,LOIBORSOIT  SECONDARY SCHOOL,MANYARA,66,65,44,4.1182,7,8,1155,1406
S4563,MAKANGE SECONDARY SCHOOL,DAR ES SALAAM,48,47,37,4.1183,7,8,1156,1590
S3502,OYSTERBAY SECONDARY SCHOOL,DAR ES SALAAM,246,215,157,4.1185,7,7,1157,906
S0880,KAIGARA SECONDARY SCHOOL,KAGERA,191,185,138,4.1186,7,8,1158,1422
S1185,DAR-ES-SALAAM BAPTIST SECONDARY SCHOOL,DAR ES SALAAM,102,100,69,4.1186,7,8,1159,1146
S3975,MKIWA SECONDARY SCHOOL,SINGIDA,41,40,30,4.1188,7,9,1160,1807
S1054,NYAMIREMBE SECONDARY SCHOOL,GEITA,95,65,43,4.1189,7,8,1161,1681
S3187,MTANDE SECONDARY SCHOOL,MBEYA,47,41,33,4.1191,7,8,1162,955
S1987,WINO SECONDARY SCHOOL,RUVUMA,138,130,107,4.1194,7,7,1163,968
S0579,KATUNGURU SECONDARY SCHOOL,MWANZA,195,186,126,4.12,7,8,1164,1227
S3971,UTAHO SECONDARY SCHOOL,SINGIDA,44,35,20,4.1201,7,9,1165,1792
S4703,MABILIONI SECONDARY SCHOOL,KILIMANJARO,103,88,64,4.1205,7,8,1166,1959
S3414,MASEKELO SECONDARY SCHOOL,SHINYANGA,82,75,57,4.1224,7,6,1167,141
S2234,RUHINDA SECONDARY SCHOOL,KAGERA,70,48,39,4.1225,7,8,1168,1450
S3272,BUHEMBE SECONDARY SCHOOL,KAGERA,74,70,56,4.1225,7,8,1169,1353
S3347,BUSULWA SECONDARY SCHOOL,SHINYANGA,85,80,59,4.1232,7,7,1170,462
S4031,MLANDEGE SECONDARY SCHOOL,IRINGA,111,96,71,4.1241,7,7,1171,969
S1576,MPUGUSO SECONDARY SCHOOL,MBEYA,295,271,189,4.1256,7,7,1172,665
S1353,ZAKIA MEGHJI SECONDARY SCHOOL,GEITA,228,213,154,4.1263,7,7,1173,976
S4052,KITUNDA SECONDARY SCHOOL,DAR ES SALAAM,223,195,127,4.1264,7,7,1174,760
