Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Company Status,Transactions Number,Amount (GBP),VAT Registration Number
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,56448.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,66828.42,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,3537.8,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,3537.8,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,3233.73,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-3233.73,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-3537.8,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-3537.8,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-66828.42,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,57242.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,9878.4,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,10017.35,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-56448.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-57242.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-9878.4,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-10017.35,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,113690.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,19895.75,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-113690.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-19895.75,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,113690.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,19895.75,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-113690.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-19895.75,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,113690.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,19895.75,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-113690.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-19895.75,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,113690.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,19895.75,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-113690.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,-19895.75,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,113690.0,
FCO,FCO,2010-04-15T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CABLE & WIRELESS A-SERVICES LIMITED,Active,1161910,19895.75,
FCO,FCO,2010-04-06T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1161070,11550.0,
FCO,FCO,2010-04-06T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1161070,11550.0,
FCO,FCO,2010-04-06T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1161070,45.0,
FCO,FCO,2010-04-06T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1161070,4050.38,
FCO,FCO,2010-04-22T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI UK PLC,Active,1162362,81981.5,
FCO,FCO,2010-04-22T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162362,14346.76,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,3822.5,
